fornitore,reg,codice_regione,Code,anno,mese,age_group,coverage_of_the_age_group,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_6,coverage_7,coverage_8,coverage_9,coverage_10,coverage_11,coverage_12,coverage_13,coverage_14,coverage_15,efficacy_baseline,efficacy_lower,efficacy_upper
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,8,5,.00029927064,.036534451,.028183717,.040709816,.31628394,.31837162,.25574115,.0041753659,0,0,0,0,0,0,0,0,45.925785,36.900108,51.285706
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,9,5,.00023086592,.027411167,.035532996,.027411167,.039593909,.30761421,.30964464,.24873096,.0040609138,0,0,0,0,0,0,0,36.698372,22.73604,42.561424
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,10,5,.00011970825,.014014015,.027027028,.035035037,.027027028,.039039042,.3033033,.3053053,.24524526,.0040040044,0,0,0,0,0,0,28.56847,9.3899899,37.801102
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,11,5,.00003420236,.003988036,.013958125,.026919242,.034895316,.026919242,.038883351,.30209371,.30408773,.2442672,.003988036,0,0,0,0,0,27.367798,6.0763707,40.85643
AstraZeneca/Janssen,Abruzzo,13,ITF1,2021,12,5,0,0,.003988036,.013958125,.026919242,.034895316,.026919242,.038883351,.30209371,.30408773,.2442672,.003988036,0,0,0,0,26.386341,4.0576272,43.862213
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,1,5,0,0,0,.003988036,.013958125,.026919242,.034895316,.026919242,.038883351,.30209371,.30408773,.2442672,.003988036,0,0,0,25.287239,2.352941,43.312561
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,2,5,0,0,0,0,.003988036,.013958125,.026919242,.034895316,.026919242,.038883351,.30209371,.30408773,.2442672,.003988036,0,0,24.49671,1.0420737,42.915054
AstraZeneca/Janssen,Abruzzo,13,ITF1,2022,3,5,0,0,0,0,0,.003988036,.013958125,.026919242,.034895316,.026919242,.038883351,.30209371,.30408773,.2442672,.003988036,0,24.107279,.30937189,43.006283
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2021,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2021,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2021,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2021,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2021,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AstraZeneca/Janssen(BOOSTER),Abruzzo,13,ITF1,2022,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
